data_id,product_id,store_id,price,price_per_unit,unit,date_of_price,created_time
503,372,3,0.66,2.99,1lb,1713326400000,1713507918672
504,371,3,0.97,1.99,1lb,1713326400000,1713507918682
505,373,3,2.71,1.09,1lb,1713326400000,1713507918686
506,214,3,5.99,0.13,100g,1713326400000,1713507918690
507,374,3,3.88,0.22,100g,1713326400000,1713507918694
508,15,3,0.88,0.88,1ea,1713326400000,1713507918697
509,375,3,0.99,0.99,1ea,1713326400000,1713507918701
510,17,3,1.38,0.88,1lb,1713326400000,1713507918705
511,27,3,0.99,0.99,1ea,1713326400000,1713507918709
512,215,3,1.99,1.99,1ea,1713326400000,1713507918713
513,377,3,4.99,0.73,100g,1713326400000,1713507918717
514,378,3,3.99,0.88,100g,1713326400000,1713507918721
515,218,3,3.99,0.29,100g,1713326400000,1713507918724
516,216,3,1.29,1.29,1ea,1713326400000,1713507918728
517,376,3,2.49,2.49,1ea,1713326400000,1713507918732
518,30,3,2.49,2.49,1ea,1713326400000,1713507918735
519,223,3,2.99,0.92,100g,1713326400000,1713507918738
520,37,3,0.66,2.99,1lb,1713326400000,1713507918741
521,51,3,14,1.03,100g,1713326400000,1713507934598
522,379,3,5.99,0.97,100g,1713326400000,1713507934603
523,50,3,3.49,0.93,100g,1713326400000,1713507934607
524,53,3,3.49,0.93,100g,1713326400000,1713507934611
525,380,3,5.99,0.97,100g,1713326400000,1713507934615
526,46,3,10.99,1.1,100g,1713326400000,1713507934620
527,58,3,14,1.24,100g,1713326400000,1713507934625
528,381,3,5.99,0.97,100g,1713326400000,1713507934632
529,382,3,14.4,5.99,1lb,1713326400000,1713507934638
530,64,3,3.49,0.93,100g,1713326400000,1713507934644
531,68,3,14,1.37,100g,1713326400000,1713507934649
532,66,3,14,1.24,100g,1713326400000,1713507934655
533,383,3,6.99,39.94,1kg $3.99,1713326400000,1713507946986
534,384,3,6,3.75,100g,1713326400000,1713507946992
535,386,3,5,1,100ml,1713326400000,1713507946997
536,385,3,4.49,2.25,100g,1713326400000,1713507947001
537,387,3,6,3.53,100g,1713326400000,1713507947005
538,464,3,8,2,100g,1713326400000,1713507947010
539,465,3,6,16,1kg $1.60,1713326400000,1713507947015
540,466,3,4.49,2.27,100g,1713326400000,1713507947020
541,389,3,6.99,39.94,1kg $3.99,1713326400000,1713507947025
542,388,3,5.99,3.99,100g,1713326400000,1713507947029
543,390,3,5.99,3.99,100g,1713326400000,1713507947034
544,391,3,6,3.75,100g,1713326400000,1713507947038
545,393,3,6.99,39.94,1kg $3.99,1713326400000,1713507947042
546,468,3,6,4,100g,1713326400000,1713507947046
547,467,3,3.99,1.41,100g,1713326400000,1713507947051
548,392,3,5.99,4.79,100g,1713326400000,1713507947055
549,394,3,7,1.4,100g,1713326400000,1713507947059
550,397,3,6,3.53,100g,1713326400000,1713507947063
551,398,3,6,20,1kg $2.00,1713326400000,1713507947067
552,395,3,6.49,3.71,100g,1713326400000,1713507947072
553,396,3,6,4,100g,1713326400000,1713507947076
554,399,3,6.99,4.66,100g,1713326400000,1713507947080
555,400,3,6,3.75,100g,1713326400000,1713507947085
556,402,3,5,1,100ml,1713326400000,1713507947089
557,403,3,6,4,100g,1713326400000,1713507947094
558,401,3,6.99,3.99,100g,1713326400000,1713507947099
