price_id,product_id,store_id,price,size,price_per_unit,unit,start_date,end_date,created_time,updated_time
11,2,1,0.92,100 ml,1.88,LB,1711684800000,1711684800000,1712435298382,1712435561252
17,1,1,0.95,100 ml,1.88,LB,1711684800000,1711684800000,1712435537968,1712435561260
18,204,3,0.57,1lb,1.99,1lb,1711684800000,1711684800000,1712953919281,1712953919281
19,207,3,4.99,0.285 kg,1.75,100g,1711684800000,1711684800000,1712953919286,1712953919286
20,206,3,4.99,347 g,1.44,100g,1711684800000,1711684800000,1712953919290,1712953919290
21,208,3,2.44,4.54 kg,0.05,100g,1711684800000,1711684800000,1712953919293,1712953919293
22,205,3,3.99,0.312 kg,1.28,100g,1711684800000,1711684800000,1712953919297,1712953919297
23,18,3,1.58,1lb,2.99,1lb,1711684800000,1711684800000,1712953919301,1712953919371
24,14,3,0.99,1 bunch,0.99,1ea,1711684800000,1711684800000,1712953919304,1712953919304
25,210,3,1.79,1lb,1.29,1lb,1711684800000,1711684800000,1712953919308,1712953919308
26,209,3,4.99,1.81 kg,0.28,100g,1711684800000,1711684800000,1712953919312,1712953919312
27,211,3,4.99,285 g,1.75,100g,1711684800000,1711684800000,1712953919317,1712953919317
28,212,3,4.99,326 g,1.53,100g,1711684800000,1711684800000,1712953919321,1712953919321
29,17,3,3.12,1lb,1.99,1lb,1714536000000,1715140800000,1712953919324,1714848500084
30,19,3,3.99,1 ea,3.99,1ea,1711684800000,1711684800000,1712953919328,1712953919328
31,213,3,2.99,4 pack,0.75,1ea,1713931200000,1714536000000,1712953919333,1714122253585
32,214,3,5.99,4.54 kg,0.13,100g,1713326400000,1713931200000,1712953919337,1713507918588
33,21,3,0.99,1 bunch,0.99,1ea,1713931200000,1714536000000,1712953919342,1714122253601
34,215,3,1.99,1 ea,1.99,1ea,1713931200000,1714536000000,1712953919346,1714122253596
35,26,3,0.4,1lb,1.79,1lb,1711684800000,1711684800000,1712953919351,1712953919351
36,23,3,5.99,908 g,0.66,100g,1711684800000,1711684800000,1712953919355,1712953919355
37,216,3,1.29,1 ea,1.29,1ea,1714536000000,1715140800000,1712953919360,1714848500171
38,217,3,1.23,1lb,1.99,1lb,1713931200000,1714536000000,1712953919364,1714122253633
39,218,3,3.99,1.36 kg,0.29,100g,1713326400000,1713931200000,1712953919376,1713507918634
40,29,3,1.58,1lb,2.99,1lb,1711684800000,1711684800000,1712953919381,1712953919381
41,219,3,0.92,1lb,1.99,1lb,1711684800000,1711684800000,1712953919386,1712953919386
42,33,3,1.99,6 pack,0.33,1ea,1711684800000,1711684800000,1712953919390,1712953919390
43,220,3,4.99,340 g,1.47,100g,1711684800000,1711684800000,1712953919393,1712953919393
44,221,3,4.99,369 g,1.35,100g,1711684800000,1711684800000,1712953919397,1712953919397
45,222,3,0.83,1lb,1.79,1lb,1711684800000,1711684800000,1712953919401,1712953919401
46,223,3,2.99,325 g,0.92,100g,1713326400000,1713931200000,1712953919405,1713507918655
47,224,3,5.99,680 g,0.88,100g,1711684800000,1711684800000,1712953919411,1712953919411
48,226,3,5.99,285 g,2.1,100g,1711684800000,1711684800000,1712953919415,1713411023271
49,227,3,4.99,298 g,1.67,100g,1711684800000,1711684800000,1712953919420,1712953919420
50,228,3,4.99,347 g,1.44,100g,1711684800000,1711684800000,1712953919425,1712953919425
51,225,3,5.99,0.312 kg,1.92,100g,1711684800000,1711684800000,1712953919428,1713411023277
52,37,3,0.66,1lb,2.99,1lb,1713931200000,1714536000000,1712953919434,1714122253654
53,229,3,15.99,710 g,2.25,100g,1711684800000,1711684800000,1712953939093,1713411037403
54,230,3,11.99,710 g,1.69,100g,1711684800000,1711684800000,1712953939098,1712953939098
55,231,3,6.99,375 g,1.86,100g,1713931200000,1714536000000,1712953939102,1714122282583
56,232,3,5.99,375 g,1.6,100g,1711684800000,1711684800000,1712953939106,1712953939106
57,233,3,4.49,375 g,1.2,100g,1711684800000,1711684800000,1712953939111,1712953939111
58,234,3,8.99,720 g,1.25,100g,1711684800000,1711684800000,1712953939115,1713411037498
59,235,3,6.99,375 g,1.86,100g,1713931200000,1714536000000,1712953939119,1714122282597
60,236,3,4.99,375 g,1.33,100g,1711684800000,1711684800000,1712953939123,1712953939123
61,238,3,5.99,500 g,1.2,100g,1714536000000,1715140800000,1712953939127,1714848519301
62,237,3,6,500 g,1.2,100g,1711684800000,1711684800000,1712953939131,1713411037436
63,239,3,34.89,1lb,10.99,1lb,1711684800000,1711684800000,1712953939139,1713411037415
64,240,3,5.49,375 g,1.46,100g,1713931200000,1714536000000,1712953939142,1714122267937
65,241,3,8.99,720 g,1.25,100g,1711684800000,1711684800000,1712953939152,1713411037442
66,242,3,12.92,1lb,4.99,1lb,1711684800000,1711684800000,1712953939156,1713411037456
67,244,3,5.99,375 g,1.6,100g,1711684800000,1711684800000,1712953939161,1712953939164
68,243,3,15.99,710 g,2.25,100g,1711684800000,1711684800000,1712953939169,1713411037466
69,246,3,5.99,500 g,1.2,100g,1713931200000,1714536000000,1712953939174,1714122267997
70,245,3,5.99,500 g,1.2,100g,1713931200000,1714536000000,1712953939179,1714122267963
71,249,3,5.29,375 g,1.41,100g,1711684800000,1711684800000,1712953939183,1713411037474
72,247,3,22,2.27 kg,0.97,100g,1711684800000,1711684800000,1712953939188,1713411037523
73,248,3,19.89,1lb,10.49,1lb,1711684800000,1711684800000,1712953939197,1713411037483
74,250,3,8.99,720 g,1.25,100g,1711684800000,1711684800000,1712953939202,1713411037505
75,251,3,6.99,500 g,1.4,100g,1713931200000,1714536000000,1712953939206,1714122282644
76,253,3,6.99,300 g,2.33,100g,1713931200000,1714536000000,1712953939211,1714122282656
77,254,3,6.99,300 g,2.33,100g,1713931200000,1714536000000,1712953939215,1714122282660
78,252,3,6.99,500 g,1.4,100g,1713931200000,1714536000000,1712953939220,1714122282664
79,255,3,13.99,1lb,5.99,1lb,1711684800000,1711684800000,1712953939224,1713411037532
80,256,3,5.99,375 g,1.6,100g,1711684800000,1711684800000,1712953939229,1712953939229
81,257,3,6.99,300 g,2.33,100g,1713931200000,1714536000000,1712953939233,1714122282682
82,259,3,6.99,300 g,23.3,1kg $2.33,1713931200000,1714536000000,1712953939238,1714122282686
83,258,3,5.99,450 g,1.33,100g,1711684800000,1711684800000,1712953939242,1712953939242
84,260,3,6.99,300 g,2.33,100g,1713931200000,1714536000000,1712953939246,1714122282699
85,261,3,7,250 g,2.8,100g,1713931200000,1714536000000,1712953954315,1714122282579
86,262,3,2.29,90 g,2.54,100g,1714536000000,1715140800000,1712953954322,1714848535378
87,263,3,10.49,600 g,17.48,100g,1711684800000,1711684800000,1712953954328,1712953954333
88,142,3,4.44,400 g,1.11,100g,1714536000000,1715140800000,1712953954337,1714848596405
89,264,3,5.49,200 g,2.75,100g,1711684800000,1711684800000,1712953954359,1713411055630
90,265,3,1.99,454 g,0.44,100g,1714536000000,1715140800000,1712953954364,1714848535445
91,266,3,1.99,454 g,0.44,100g,1714536000000,1715140800000,1712953954369,1714848535503
92,267,3,5.77,400 g,1.44,100g,1713931200000,1714536000000,1712953954374,1714122330003
93,268,3,1.99,454 g,0.44,100g,1714536000000,1715140800000,1712953954379,1714848535576
94,271,3,7.49,240 g,3.12,100g,1711684800000,1711684800000,1712953954385,1712953954385
95,272,3,5,150 g,3.33,100g,1711684800000,1711684800000,1712953954391,1713411055656
96,273,3,1.99,454 g,0.44,100g,1714536000000,1715140800000,1712953954396,1714848535540
97,269,3,7.49,280 g,2.68,100g,1711684800000,1711684800000,1712953954400,1712953954400
98,270,3,2.29,196 g,1.17,100g,1711684800000,1711684800000,1712953954404,1713411055647
99,274,3,7,250 g,2.8,100g,1713931200000,1714536000000,1712953954409,1714122282629
100,276,3,2.29,100 g,2.29,100g,1714536000000,1715140800000,1712953954418,1714848535693
101,275,3,5.49,200 g,2.75,100g,1711684800000,1711684800000,1712953954423,1713411055683
102,279,3,2.29,100 g,2.29,100g,1714536000000,1715140800000,1712953954433,1714848535614
103,277,3,7,250 g,2.8,100g,1713931200000,1714536000000,1712953954438,1714122282652
104,278,3,2.29,90 g,2.54,100g,1714536000000,1715140800000,1712953954442,1714848535601
105,280,3,7.49,560 g,1.34,100g,1711684800000,1711684800000,1712953954460,1712953954460
106,281,3,2.29,90 g,2.54,100g,1711684800000,1711684800000,1712953954467,1712953954467
107,282,3,2.29,100 g,2.29,100g,1714536000000,1715140800000,1712953954479,1714848535731
108,283,3,3,235 g,1.28,100g,1713931200000,1714536000000,1712953971285,1714122298990
109,284,3,3.99,160 g,2.49,100g,1711684800000,1711684800000,1712953986788,1713411088474
110,285,3,2.99,227 g,1.32,100g,1713931200000,1714536000000,1712953986793,1714122312201
111,286,3,5.99,400 g,1.5,100g,1714536000000,1715140800000,1712953986797,1714848567892
112,287,3,2.99,227 g,1.32,100g,1713931200000,1714536000000,1712953986802,1714122312206
113,288,3,2.99,160 g,1.87,100g,1713931200000,1714536000000,1712953986806,1714122312210
114,289,3,5.99,400 g,1.5,100g,1714536000000,1715140800000,1712953986810,1714848567927
115,290,3,3.79,227 g,1.67,100g,1711684800000,1711684800000,1712953986815,1713411088524
116,291,3,5.99,400 g,1.5,100g,1714536000000,1715140800000,1712953986820,1714848567915
117,292,3,5.99,400 g,1.5,100g,1714536000000,1715140800000,1712953986827,1714848567908
118,293,3,2.99,227 g,1.32,100g,1713931200000,1714536000000,1712953986833,1714122312216
119,294,3,5.99,400 g,1.5,100g,1714536000000,1715140800000,1712953986840,1714848567946
120,295,3,2.99,50 g,5.98,100g,1713931200000,1714536000000,1712953986845,1714122312221
121,296,3,5.99,400 g,1.5,100g,1714536000000,1715140800000,1712953986851,1714848567937
122,297,3,5.99,1.36 kg,0.44,100g,1713931200000,1714536000000,1712954001796,1714122329977
123,298,3,2.99,2x130.0 g,1.15,100g,1713931200000,1714536000000,1712954001802,1714122330012
